,ID RESTAURANT,GRADE,DBA,Latitude,Longitude,Exponential Smoothed Score,Probabilistic risk Score,Final Cluster,CUISINE DESCRIPTION
7701,50009001,A,KLONG,40.72929762,-73.98930213,14.54963059,16.64944781,2,Thai
7702,50009013,A,PARK ASIA RESTAURANT,40.63181397,-74.01283663,24.39056183,27.91063209,3,Chinese
7703,50009019,A,JUST SALAD,40.76666541,-73.95681258,9.956072923,11.39294332,1,Salads
7704,50009047,A,IZAKAYA NOMAD,40.74396016,-73.98939721,6.168170324,7.05836683,2,Japanese
7705,50009057,A,OKONOMI,40.71264236,-73.94866671,2.466779691,2.822787801,2,Japanese
7706,50009062,A,LTAUHA RESTAURANT,40.7000367,-73.90681985,12.82670323,14.67786586,3,American
7707,50009070,A,MARY'S DOMINICAN CAKE,40.74228621,-73.86948565,9.458898842,10.82401658,0,Bakery Products/Desserts
7708,50009079,C,TING FAI CUISINE,40.60497618,-73.9988908,10.20429303,11.6769868,0,Chinese
7709,50009089,A,NEW DRAGON RESTAURANT,40.6967398,-73.97551695,10.8085176,12.36841366,2,Chinese
7710,50009095,A,TOWN TENNIS MEMBERS CLUB,40.757165,-73.96232696,8.011485455,9.167711042,2,American
7711,50009127,B,Atlantic Bagels Cafe,40.69039087,-73.99429541,16.26543033,18.61287349,1,Bagels/Pretzels
7712,50009132,A,DUNKIN,40.7479918,-73.98560704,10.90101574,12.47426123,2,Donuts
7713,50009134,A,SPRING GARDEN RESTAURANT,40.67589177,-73.89510813,2.816005309,3.22241401,1,Chinese
7714,50009143,A,ANATOLIAN GYRO RESTAURANT,40.58757844,-73.95331767,9.496309394,10.86682626,3,Turkish
7715,50009155,A,SECRETS,40.66479129,-73.73491032,7.89132589,9.030209929,2,American
7716,50009159,A,BLACK SEED BAGELS,40.7209347,-73.99483753,9.139504661,10.45852711,3,Bagels/Pretzels
7717,50009170,A,BURGER KING,40.74989747,-73.86245445,8.159605347,9.337207746,1,Hamburgers
7718,50009215,A,LEOS RESTAURANT,40.70341331,-73.92643887,12.32463565,14.10333938,0,Mexican
7719,50009218,A,LA GITANA # 2,40.75164024,-73.85562932,8.599025583,9.840045549,0,Latin American
7720,50009225,A,BAR CHUKO,40.6808319,-73.96770987,10.38431416,11.88298876,1,Japanese
